id,gender,masterCategory,subCategory,articleType,baseColour,season,year,usage,productDisplayName
59051,Women,Footwear,Shoes,Flats,Black,Winter,2012,Casual,Carlton London Women Black & Gold Toned Flats
58183,Women,Accessories,Bags,Handbags,White,Summer,2012,Casual,Rocky S Women White Handbag
49495,Men,Footwear,Shoes,Casual Shoes,Khaki,Summer,2012,Casual,Vans Men Khaki Shoes
49653,Women,Apparel,Topwear,Tops,Green,Summer,2012,Casual,Mineral Women Green Top
48781,Women,Accessories,Jewellery,Pendant,Silver,Summer,2012,Casual,Lucera Women Silver Pendant
58513,Women,Apparel,Topwear,Tops,Off White,Summer,2012,Casual,Tonga Women Maroon Top
25947,Women,Accessories,Scarves,Scarves,Brown,Summer,2012,Casual,Femella Women Brown Scarf
54588,Women,Apparel,Topwear,Kurtas,Green,Summer,2012,Ethnic,Sushilas Women Printed Green Kurta
19547,Men,Apparel,Topwear,Sweatshirts,Blue,Fall,2011,Casual,United Colors of Benetton Men Solid Blue Sweatshirt
39140,Women,Apparel,Apparel Set,Kurta Sets,Black,Summer,2012,Ethnic,Aneri Women Black & Maroon Salwar Suit
58177,Women,Accessories,Bags,Handbags,Brown,Summer,2012,Casual,Rocky S Women Brown Handbag
54127,Women,Footwear,Shoes,Heels,Black,Winter,2012,Casual,Rocia Women Black Heels
53130,Women,Footwear,Shoes,Flats,Brown,Winter,2015,Casual,Catwalk Women Brown Sandals
9009,Women,Accessories,Bags,Handbags,Brown,Winter,2015,Casual,Murcia Women Snake Print Bag Brown Handbags
57100,Women,Apparel,Topwear,Tops,Pink,Summer,2012,Casual,Elle Women Dark Pink Top
6889,Women,Apparel,Topwear,Jackets,Cream,Summer,2011,Casual,Forever New Women Stone Cream Jacket
57138,Women,Apparel,Bottomwear,Trousers,Brown,Summer,2012,Casual,Elle Women Brown Trousers
58170,Women,Accessories,Bags,Clutches,Red,Fall,2012,Casual,Rocky S Women Red Clutch
49654,Women,Apparel,Bottomwear,Skirts,Grey,Summer,2012,Casual,Mineral Women Grey Skirt
58514,Women,Apparel,Topwear,Tops,Grey,Summer,2012,Casual,Tonga Women Grey Top
49492,Men,Footwear,Shoes,Casual Shoes,Maroon,Summer,2012,Casual,Vans Men Maroon & Grey Era Shoes
48772,Women,Accessories,Jewellery,Pendant,Silver,Summer,2013,Casual,Lucera Women Silver Pendant
58184,Women,Accessories,Bags,Handbags,Beige,Summer,2012,Casual,Rocky S Women Beige Handbag
59264,Women,Accessories,Watches,Watches,White,Winter,2016,Casual,Titan Women White Watch
4381,Men,Apparel,Topwear,Tshirts,Blue,Summer,2011,Casual,Superman Men's Silhouette Light Blue T-shirt
52223,Women,Accessories,Jewellery,Necklace and Chains,White,Fall,2012,Casual,Lencia White Swarovski Pearl Necklace
57107,Women,Apparel,Topwear,Tops,Olive,Summer,2012,Casual,Elle Women Green Essentials Top
43735,Women,Accessories,Jewellery,Bangle,Gold,Summer,2012,Ethnic,Royal Diadem Set of 2 Golden Bangles
55650,Women,Footwear,Shoes,Heels,Multi,Winter,2015,Casual,Catwalk Women Multi-coloured Heels
53137,Women,Footwear,Shoes,Flats,Brown,Winter,2015,Casual,Catwalk Women Brown Sandals
4375,Men,Apparel,Topwear,Tshirts,Navy Blue,Summer,2011,Casual,Marvel Comics Men's Comic Poses Navy T-shirt
54120,Women,Footwear,Shoes,Flats,Beige,Winter,2012,Casual,Rocia Women Beige Flats
48582,Men,Accessories,Jewellery,Bracelet,Steel,Summer,2012,Casual,Revv Men Steel Bracelet
39727,Women,Apparel,Topwear,Shirts,Blue,Summer,2012,Formal,Arrow Woman Blue Shirt
6887,Women,Apparel,Topwear,Jackets,Blue,Summer,2011,Casual,Forever New Women Indigo Wash Blue Jacket
9007,Women,Accessories,Bags,Handbags,Silver,Winter,2015,Casual,Murcia Women Silver Black Purse Silver Handbags
6873,Women,Apparel,Dress,Dresses,Black,Summer,2011,Casual,Forever New Women's Top Black Dress
59252,Men,Accessories,Watches,Watches,White,Winter,2016,Casual,Titan Men White Dial Automatic Watch NB9365SL01
54129,Women,Footwear,Shoes,Heels,Beige,Winter,2012,Casual,Rocia Women Beige Flats
57303,Women,Footwear,Shoes,Heels,Brown,Winter,2012,Casual,Rocia Women Brown Wedges
54586,Women,Apparel,Topwear,Kurtas,Green,Summer,2012,Ethnic,Sushilas Women Printed Green Kurta
19549,Men,Apparel,Topwear,Sweatshirts,Grey,Fall,2011,Casual,United Colors of Benetton Men Solid Grey Sweatshirt
43703,Women,Accessories,Jewellery,Jewellery Set,Red,Summer,2012,Casual,Royal Diadem Red Earring & Pendant Set
57131,Women,Apparel,Topwear,Tops,Teal,Summer,2012,Casual,Elle Women Teal Top
59897,Women,Apparel,Dress,Dresses,Yellow,Fall,2012,Casual,Femella Women Yellow Dress
58179,Women,Accessories,Bags,Handbags,Blue,Summer,2012,Casual,Rocky S Women Blue Handbag
52027,Unisex,Apparel,Topwear,Rain Jacket,Navy Blue,Summer,2012,,Just Natural Unisex Navy Blue Rain Jacket
25949,Women,Accessories,Scarves,Scarves,Brown,Summer,2012,Casual,Femella Women Printed Brown Scarf
54116,Women,Footwear,Shoes,Heels,Maroon,Winter,2012,Casual,Rocia Women Maroon Sandals
37212,Men,Apparel,Topwear,Shirts,Pink,Summer,2012,Casual,United Colors of Benetton Men Pink Shirt
54572,Women,Apparel,Topwear,Kurtas,Pink,Summer,2012,Ethnic,Sushilas Women Multi Coloured Kurta
9804,Men,Apparel,Topwear,Shirts,Black,Fall,2011,Formal,John Miller Men Black Checks Shirts
9038,Men,Footwear,Shoes,Formal Shoes,Brown,Winter,2011,Formal,Buckaroo Men Medina Brown Formal Shoes
45400,Women,Footwear,Shoes,Flats,Maroon,Winter,2012,Casual,Rocia Women Maroon Sandals
53139,Women,Footwear,Shoes,Heels,Blue,Winter,2015,Casual,Catwalk Women Blue & White Sandals
9464,Men,Apparel,Topwear,Shirts,White,Fall,2011,Formal,John Miller Men  White Shirt
8784,Unisex,Accessories,Eyewear,Sunglasses,Brown,Winter,2016,Casual,Fastrack Unisex Brown Sunglasses
59255,Men,Accessories,Watches,Watches,Black,Winter,2016,Casual,Titan Men Black Watch
6874,Women,Apparel,Dress,Dresses,Pink,Summer,2011,Casual,Forever New Women Pink Sleeveless Dress
57109,Women,Apparel,Topwear,Tunics,Blue,Summer,2012,Casual,Elle Women Blue Tunic
6880,Women,Apparel,Topwear,Jackets,Black,Summer,2011,Casual,Forever New Women Long Black Jacket
52823,Women,Accessories,Jewellery,Earrings,Green,Summer,2012,Casual,Adrika Green Earrings
48585,Women,Accessories,Jewellery,Bracelet,Silver,Summer,2013,Casual,Lucera Women Silver Bracelet
37215,Men,Apparel,Topwear,Shirts,Grey,Summer,2012,Casual,United Colors of Benetton Men Grey Shirt
54575,Women,Apparel,Topwear,Kurtas,Maroon,Summer,2012,Ethnic,Sushilas Women Printed Maroon Kurta
49468,Men,Footwear,Shoes,Casual Shoes,Red,Summer,2012,Casual,Vans Men Red Old Skool Shoes
43704,Women,Accessories,Jewellery,Jewellery Set,Green,Summer,2012,Casual,Royal Diadem Green Earring & Pendant Set
57136,Women,Apparel,Bottomwear,Trousers,Black,Summer,2012,Casual,Elle Women Black Trousers
57304,Women,Footwear,Shoes,Heels,Brown,Winter,2012,Casual,Rocia Women Brown Wedges
54581,Women,Apparel,Topwear,Kurtas,Green,Summer,2012,Ethnic,Sushilas Women Printed Green Kurta
